name,freq,score
Synaptic cleft,3,0
Zymogen granule lumen,3,0
(Microbial infection) Sequestrated at the late endosome by SARS coronavirus-2/SARS-CoV-2 ORF3A protein.,2,0
Autolysosome,2,0
Chromaffin granule lumen,2,0
COPII-coated vesicle,2,0
Cornified envelope,2,0
Cytoplasmic granule lumen,2,0
Podosome membrane,2,0
Postsynaptic recycling endosome membrane,2,0
Spindle pole body,2,0
"(Microbial infection) During parasite T.gondii-mediated infection, enriched at the interface between the host mitochondria and the parasitopharous vacuole.",1,0
"(Microbial infection) In cells infected with C.trachomatis incM, recruited to the periphery of the pathogen-containing vacuole but recruitment is not dependent on incM.",1,0
"(Microbial infection) In SARS coronavirus-2/SARS-CoV-2 infected cells, prenylated form localizes to membranous perinuclear structures reminiscent of the endoplasmic reticulum rich in viral dsRNA which are SARS-CoV-2 replicative organelles.",1,0
"(Microbial infection) In SARS coronavirus-2/SARS-CoV-2 infected cells, since its not prenylated, is diffusely localized and unable to initiate a detectable block to SARS-CoV-2 replication.",1,0
"(Microbial infection) In the mosquito midgut, localizes to P.falciparum (NF54 strain) macrogamete and young zygote cell membranes.",1,0
(Microbial infection) In the presence of M.tuberculosis EsxA-EsxB complex decreased amounts of B2M are found on the cell surface (PubMed:25356553).,1,0
"(Microbial infection) Upon infection with virulent M.tuberculosis forms aggregates with dsDNA, non-virulent bacteria (without the ESX-1 locus) do not form these aggregates (PubMed:26048138).",1,0
"(Microbial infection) Upon SV40 infection, colocalizes with BCAP31, DNAJB12 and DNAJB14 in punctate structures within the endoplasmic reticulum membrane.",1,0
"(Microbial infection) Upon SV40 infection, colocalizes with BCAP31, DNAJB12 and DNAJC18 in punctate structures within the endoplasmic reticulum membrane.",1,0
"(Microbial infection) Upon SV40 infection, colocalizes with BCAP31, DNAJC18 and DNAJB14 in punctate structures within the endoplasmic reticulum membrane.",1,0
"(Microbial infection) Upon SV40 infection, colocalizes with DNAJC18, DNAJB12 and DNAJB14 in punctate structures within the endoplasmic reticulum membrane.",1,0
Acrosome lumen,1,0
Autophagosome lumen,1,0
Cell tip,1,0
"Contrary to isoforms 1 and 2, isoform 3 does not localize to the mitochondria.",1,0
Does not localize to focal adhesions.,1,0
Endoplasmic reticulum-Golgi intermediate compartment lumen,1,0
H zone,1,0
"In cardiomyocytes, localized at specialized membrane contact sites between T-tubules and the sarcoplasmic reticulum, known as junctional membrane complexes.",1,0
Isoform 2,1,0
Isoform p42,1,0
Isoform p46,1,0
Localized at the myotendinous junction in skeletal muscle and at the intercalated disk in cardiac muscle.,1,0
Localizes to the spermatid head-tail coupling apparatus (HTCA) during spermatogenesis.,1,0
"Located in the lumen and epithelium of distal ductus efferentes and epididymal ducts, and on the postacrosomal region of the sperm head.",1,0
Microneme membrane,1,0
Multivesicular body lumen,1,0
Nucleolus fibrillar center,1,0
Nucleus intermembrane space,1,0
Parasitophorous vacuole,1,0
Phagosome lumen,1,0
Pseudopodium membrane,1,0
Rough endoplasmic reticulum lumen,1,0
Target cell membrane,1,0
Vacuole,1,0
Zymogen granule,1,0
