Gene_human,Order of runs (priority),Exclude due to N term >160AA,Prioritization Notes,Class or type
FFAR4,#6,,Fatty acid,FFAR
GPBAR1,#2,,#2,
GPER1,#2,,#2,
GPR101,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR119,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR12,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR132,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR135,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR139,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR141,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR142,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR146,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR148,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR149,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR15,#1,,#1,CLRL
GPR150,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR151,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR152,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR153,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR160,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR161,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR162,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR17,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR171,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR173,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR174,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR176,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR18,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR182,#2,,#2,Atypical chemokine R
GPR183,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR19,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR20,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR21,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR22,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR25,#1,,#1,CLRL
GPR26,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR27,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR3,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR31,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR32,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR33,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR34,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR35,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR37,#2 Irina orphan,Exclude due to N term >160AA,#3 GPR orphan,GPR orphan
GPR37L1,#2 Irina orphan,,#3 GPR orphan,GPR orphan
GPR39,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR4,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR42,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR45,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR50,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR52,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR55,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR6,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR61,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR62,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR63,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR65,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR68,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR75,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR78,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR82,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR83,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR84,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR85,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR87,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR88,#3 GPR orphan,,#3 GPR orphan,GPR orphan
LGR4,#4,Exclude due to N term >160AA,#4,LGR
LGR5,#4,Exclude due to N term >160AA,#4,LGR
LGR6,#4,Exclude due to N term >160AA,#4,LGR
MAS1,#2,,#2,MAS
MAS1L,#2,,#2,MAS
MRGPRD,#2,,#2,MRGPR
MRGPRE,#2,,#2,MRGPR
MRGPRF,#2,,#2,MRGPR
MRGPRG,#2,,#2,MRGPR
MRGPRX1,#2,,#2,MRGPR
MRGPRX2,#2,,#2,MRGPR
MRGPRX3,#2,,#2,MRGPR
MRGPRX4,#2,,#2,MRGPR
P2RY10,#2,,#2,P2Ry
P2RY8,#2,,#2,P2Ry
GPR156,#6,,Class C,Class C (Glutamate like orphan)
GPR158,#6,Exclude due to N term >160AA,Class C,Class C (Glutamate like orphan)
GPR179,#6,Exclude due to N term >160AA,Class C,Class C (Glutamate like orphan)
GPRC5A,#6,,Class C,Class C (Glutamate like orphan)
GPRC5B,#6,,Class C,Class C (Glutamate like orphan)
GPRC5C,#6,,Class C,Class C (Glutamate like orphan)
GPRC5D,#6,,Class C,Class C (Glutamate like orphan)
FZD1,#6,Exclude due to N term >160AA,FZD,FZD
FZD10,#6,Exclude due to N term >160AA,FZD,FZD
SMO,#6,Exclude due to N term >160AA,FZD,FZD
FZD2,#6,Exclude due to N term >160AA,FZD,FZD
FZD3,#6,Exclude due to N term >160AA,FZD,FZD
FZD4,#6,Exclude due to N term >160AA,FZD,FZD
FZD5,#6,Exclude due to N term >160AA,FZD,FZD
FZD6,#6,Exclude due to N term >160AA,FZD,FZD
FZD7,#6,Exclude due to N term >160AA,FZD,FZD
FZD8,#6,Exclude due to N term >160AA,FZD,FZD
FZD9,#6,Exclude due to N term >160AA,FZD,FZD
GALR1,#1,,#1,GALR
GALR2,#1,,#1,GALR
GALR3,#1,,#1,GALR
GABBR1,#6,Exclude due to N term >160AA,Class C,Class C GabaR
GABBR2,#6,Exclude due to N term >160AA,Class C,Class C GabaR
GCGR,#2,,#2,Glucagon
GHRHR,#2,,#2, GHRH (somatorelin) R
GIPR,#2,,#2,Gastric inhibitory peptide R
GLP1R,#2,,#2,GLPR
GLP2R,#2,Exclude due to N term >160AA,#2,GLPR
SCTR,#2,,#2,Secretin R (B1)
GRM1,#6,Exclude due to N term >160AA,Class C,Class C metabotropic glutamate receptor
GRM2,#6,Exclude due to N term >160AA,Class C,Class C metabotropic glutamate receptor
GRM3,#6,Exclude due to N term >160AA,Class C,Class C metabotropic glutamate receptor
GRM4,#6,Exclude due to N term >160AA,Class C,Class C metabotropic glutamate receptor
GRM5,#6,Exclude due to N term >160AA,Class C,Class C metabotropic glutamate receptor
GRM6,#6,Exclude due to N term >160AA,Class C,Class C metabotropic glutamate receptor
GRM7,#6,Exclude due to N term >160AA,Class C,Class C metabotropic glutamate receptor
GRM8,#6,Exclude due to N term >160AA,Class C,Class C metabotropic glutamate receptor
FSHR,#4,Exclude due to N term >160AA,#4,
LHCGR,#4,Exclude due to N term >160AA,#4,
TSHR,#4,Exclude due to N term >160AA,#4,
GNRHR,#4,,#4,
GNRHR2,#4,,#4,
HRH1,#6,,Small organic molecule,Histamine R
HRH2,#6,,Small organic molecule,Histamine R
HRH3,#6,,Small organic molecule,Histamine R
HRH4,#6,,Small organic molecule,Histamine R
HCAR1,#2,,#2,Hydroxycarboxylic acid
HCAR2,#2,,#2,Hydroxycarboxylic acid
HCAR3,#2,,#2,Hydroxycarboxylic acid
HCRTR1,#2,,#2,Orexin (hypocretin)
HCRTR2,#2,,#2,Orexin (hypocretin)
CYSLTR1,#2,,#2,CYSLTR/LTBR
CYSLTR2,#2,,#2,CYSLTR/LTBR
LTB4R,#2,,#2,CYSLTR/LTBR
LTB4R2,#2,,#2,CYSLTR/LTBR
OXER1,#2,,#2,
LPAR1,#6,,Small organic molecule,LPAR
LPAR2,#6,,Small organic molecule,LPAR
LPAR3,#6,,Small organic molecule,LPAR
LPAR4,#6,,Small organic molecule,LPAR
LPAR5,#6,,Small organic molecule,LPAR
LPAR6,#6,,Small organic molecule,LPAR
MCHR1,#2,,#2,Melanin concentrating hormone R
MCHR2,#2,,#2,Melanin concentrating hormone R
MC1R,#1,,#1,"MSH (alpha, beta and gamma) and ACTH"
MC2R,#1,,#1,"MSH (alpha, beta and gamma) and ACTH"
MC3R,#1,,#1,"MSH (alpha, beta and gamma) and ACTH"
MC4R,#1,,#1,"MSH (alpha, beta and gamma) and ACTH"
MC5R,#1,,#1,"MSH (alpha, beta and gamma) and ACTH"
MTNR1A,#2,,#2,Melatonin R
MTNR1B,#2,,#2,Melatonin R
NMUR1,#2,,#2,NeuromedinR
