Gene_human,Order of runs (priority),Exclude due to N term >160AA,Prioritization Notes,Class or type
OR5K2,Exclude,,Exclude,Olfactory
OR5K3,Exclude,,Exclude,Olfactory
OR5K4,Exclude,,Exclude,Olfactory
OR5L1,Exclude,,Exclude,Olfactory
OR5L2,Exclude,,Exclude,Olfactory
OR5M1,Exclude,,Exclude,Olfactory
OR5M10,Exclude,,Exclude,Olfactory
OR5M11,Exclude,,Exclude,Olfactory
OR5M3,Exclude,,Exclude,Olfactory
OR5M8,Exclude,,Exclude,Olfactory
OR5M9,Exclude,,Exclude,Olfactory
OR5P2,Exclude,,Exclude,Olfactory
OR5P3,Exclude,,Exclude,Olfactory
OR5T1,Exclude,,Exclude,Olfactory
OR5T2,Exclude,,Exclude,Olfactory
OR5T3,Exclude,,Exclude,Olfactory
OR5V1,Exclude,,Exclude,Olfactory
OR5W2,Exclude,,Exclude,Olfactory
OR51A2,Exclude,,Exclude,Olfactory
OR51A4,Exclude,,Exclude,Olfactory
OR51A7,Exclude,,Exclude,Olfactory
OR51B2,Exclude,,Exclude,Olfactory
OR51B4,Exclude,,Exclude,Olfactory
OR51B5,Exclude,,Exclude,Olfactory
OR51B6,Exclude,,Exclude,Olfactory
OR51C1P,Exclude,,Exclude,Olfactory
OR51D1,Exclude,,Exclude,Olfactory
OR51E1,Exclude,,Exclude,Olfactory
OR51E2,Exclude,,Exclude,Olfactory
OR51F1,Exclude,,Exclude,Olfactory
OR51F2,Exclude,,Exclude,Olfactory
OR51G1,Exclude,,Exclude,Olfactory
OR51G2,Exclude,,Exclude,Olfactory
OR51H1,Exclude,,Exclude,Olfactory
OR51I1,Exclude,,Exclude,Olfactory
OR51I2,Exclude,,Exclude,Olfactory
OR51J1,Exclude,,Exclude,Olfactory
OR51L1,Exclude,,Exclude,Olfactory
OR51M1,Exclude,,Exclude,Olfactory
OR51Q1,Exclude,,Exclude,Olfactory
OR51S1,Exclude,,Exclude,Olfactory
OR51T1,Exclude,,Exclude,Olfactory
OR51V1,Exclude,,Exclude,Olfactory
OR52A1,Exclude,,Exclude,Olfactory
OR52A4P,Exclude,,Exclude,Olfactory
OR52A5,Exclude,,Exclude,Olfactory
OR52B2,Exclude,,Exclude,Olfactory
OR52B4,Exclude,,Exclude,Olfactory
OR52B6,Exclude,,Exclude,Olfactory
OR52D1,Exclude,,Exclude,Olfactory
OR52E1,Exclude,,Exclude,Olfactory
OR52E2,Exclude,,Exclude,Olfactory
OR52E4,Exclude,,Exclude,Olfactory
OR52E5,Exclude,,Exclude,Olfactory
OR52E6,Exclude,,Exclude,Olfactory
OR52E8,Exclude,,Exclude,Olfactory
OR52H1,Exclude,,Exclude,Olfactory
OR52I1,Exclude,,Exclude,Olfactory
OR52I2,Exclude,,Exclude,Olfactory
OR52J3,Exclude,,Exclude,Olfactory
OR52K1,Exclude,,Exclude,Olfactory
OR52K2,Exclude,,Exclude,Olfactory
OR52L1,Exclude,,Exclude,Olfactory
OR52L2P,Exclude,,Exclude,Olfactory
OR52M1,Exclude,,Exclude,Olfactory
OR52N1,Exclude,,Exclude,Olfactory
OR52N2,Exclude,,Exclude,Olfactory
OR52N4,Exclude,,Exclude,Olfactory
OR52N5,Exclude,,Exclude,Olfactory
OR52P1,Exclude,,Exclude,Olfactory
OR52R1,Exclude,,Exclude,Olfactory
OR52W1,Exclude,,Exclude,Olfactory
OR52Z1P,Exclude,,Exclude,Olfactory
OR56A1,Exclude,,Exclude,Olfactory
OR56A3,Exclude,,Exclude,Olfactory
OR56A4,Exclude,,Exclude,Olfactory
OR56A5,Exclude,,Exclude,Olfactory
OR56B1,Exclude,,Exclude,Olfactory
OR56B2P,Exclude,,Exclude,Olfactory
OR56B4,Exclude,,Exclude,Olfactory
OR6A2,Exclude,,Exclude,Olfactory
OR6B1,Exclude,,Exclude,Olfactory
OR6B2,Exclude,,Exclude,Olfactory
OR6B3,Exclude,,Exclude,Olfactory
OR6C1,Exclude,,Exclude,Olfactory
OR6C2,Exclude,,Exclude,Olfactory
OR6C3,Exclude,,Exclude,Olfactory
OR6C4,Exclude,,Exclude,Olfactory
OR6C6,Exclude,,Exclude,Olfactory
OR6C65,Exclude,,Exclude,Olfactory
OR6C68,Exclude,,Exclude,Olfactory
OR6C70,Exclude,,Exclude,Olfactory
OR6C74,Exclude,,Exclude,Olfactory
OR6C75,Exclude,,Exclude,Olfactory
OR6C76,Exclude,,Exclude,Olfactory
OR6F1,Exclude,,Exclude,Olfactory
OR6J1,Exclude,,Exclude,Olfactory
OR6K2,Exclude,,Exclude,Olfactory
OR6K3,Exclude,,Exclude,Olfactory
OR6K6,Exclude,,Exclude,Olfactory
OR6M1,Exclude,,Exclude,Olfactory
OR6N1,Exclude,,Exclude,Olfactory
OR6N2,Exclude,,Exclude,Olfactory
OR6P1,Exclude,,Exclude,Olfactory
OR6Q1,Exclude,,Exclude,Olfactory
OR6S1,Exclude,,Exclude,Olfactory
OR6T1,Exclude,,Exclude,Olfactory
OR6V1,Exclude,,Exclude,Olfactory
OR6X1,Exclude,,Exclude,Olfactory
OR6Y1,Exclude,,Exclude,Olfactory
OR7A10,Exclude,,Exclude,Olfactory
OR7A17,Exclude,,Exclude,Olfactory
OR7A2P,Exclude,,Exclude,Olfactory
OR7A5,Exclude,,Exclude,Olfactory
OR7C1,Exclude,,Exclude,Olfactory
OR7C2,Exclude,,Exclude,Olfactory
OR7D2,Exclude,,Exclude,Olfactory
OR7D4,Exclude,,Exclude,Olfactory
OR7E24,Exclude,,Exclude,Olfactory
OR7G1,Exclude,,Exclude,Olfactory
OR7G2,Exclude,,Exclude,Olfactory
OR7G3,Exclude,,Exclude,Olfactory
OR8A1,Exclude,,Exclude,Olfactory
OR8B12,Exclude,,Exclude,Olfactory
OR8B2,Exclude,,Exclude,Olfactory
OR8B3,Exclude,,Exclude,Olfactory
OR8B4,Exclude,,Exclude,Olfactory
OR8B8,Exclude,,Exclude,Olfactory
OR8D1,Exclude,,Exclude,Olfactory
OR8D2,Exclude,,Exclude,Olfactory
OR8D4,Exclude,,Exclude,Olfactory
OR8G1,Exclude,,Exclude,Olfactory
OR8G2P,Exclude,,Exclude,Olfactory
OR8G3P,Exclude,,Exclude,Olfactory
OR8G5,Exclude,,Exclude,Olfactory
OR8H1,Exclude,,Exclude,Olfactory
OR8H2,Exclude,,Exclude,Olfactory
OR8H3,Exclude,,Exclude,Olfactory
OR8I2,Exclude,,Exclude,Olfactory
OR8J1,Exclude,,Exclude,Olfactory
OR8J2,Exclude,,Exclude,Olfactory
OR8J3,Exclude,,Exclude,Olfactory
OR8K1,Exclude,,Exclude,Olfactory
OR8K3,Exclude,,Exclude,Olfactory
OR8K5,Exclude,,Exclude,Olfactory
OR8S1,Exclude,,Exclude,Olfactory
OR8U1,Exclude,,Exclude,Olfactory
OR8U3,Exclude,,Exclude,Olfactory
OR8U8,Exclude,,Exclude,Olfactory
OR8U9,Exclude,,Exclude,Olfactory
OR9A1P,Exclude,,Exclude,Olfactory
OR9A2,Exclude,,Exclude,Olfactory
OR9A4,Exclude,,Exclude,Olfactory
OR9G1,Exclude,,Exclude,Olfactory
OR9G4,Exclude,,Exclude,Olfactory
OR9G9,Exclude,,Exclude,Olfactory
OR9I1,Exclude,,Exclude,Olfactory
OR9K2,Exclude,,Exclude,Olfactory
OR9Q1,Exclude,,Exclude,Olfactory
OR9Q2,Exclude,,Exclude,Olfactory
OPRD1,#2,,#2,Opioid
OPRK1,#2,,#2,Opioid
OPRL1,#2,,#2,Opioid
OPRM1,#2,,#2,Opioid
OPN1LW,Exclude,,Exclude,Opsin
OPN1MW,Exclude,,Exclude,Opsin
OPN1MW2,Exclude,,Exclude,Opsin
OPN1MW3,Exclude,,Exclude,Opsin
OPN1SW,Exclude,,Exclude,Opsin
RHO,Exclude,,Exclude,
OPN3,Exclude,,Exclude,
OPN4,Exclude,,Exclude,
OPN5,Exclude,,Exclude,
RGR,#2,,#2,
RRH,#2,,#2,
OXGR1,#2,,#2,
P2RY1,#2,,#2,Purinergic R
P2RY11,#2,,#2,Purinergic R
P2RY12,#2,,#2,Purinergic R
P2RY13,#2,,#2,Purinergic R
P2RY14,#2,,#2,Purinergic R
P2RY2,#2,,#2,Purinergic R
P2RY4,#2,,#2,Purinergic R
P2RY6,#2,,#2,Purinergic R
PTH1R,#2,,#2,PTH
PTH2R,#2,,#2,PTH
GHSR,#2,,#2,
KISS1R,#2,,#2,
MLNR,#2,,#2,
PRLHR,#2,,#2,
QRFPR,#2,,#2,
TRHR,#2,,#2,
UTS2R,#2,,#2,Urotensin R
PTAFR,#2,,#2,
PROKR1,#2,,#2,Prokineticin
PROKR2,#2,,#2,Prokineticin
PTGDR,#2,,#2,PTG
PTGDR2,#2,,#2,PTG
PTGER1,#2,,#2,PTG
PTGER2,#2,,#2,PTG
PTGER3,#2,,#2,PTG
PTGER4,#2,,#2,PTG
PTGFR,#2,,#2,PTG
PTGIR,#2,,#2,PTG
TBXA2R,#2,,#2,
RXFP1,#2,Exclude due to N term >160AA,#2,RXFP
RXFP2,#2,Exclude due to N term >160AA,#2,RXFP
RXFP3,#2,,#2,RXFP
RXFP4,#2,,#2,RXFP
SSTR1,#2,,#2,SSTR
SSTR2,#2,,#2,SSTR
SSTR3,#2,,#2,SSTR
SSTR4,#2,,#2,SSTR
SSTR5,#2,,#2,SSTR
S1PR1,#6,,Small organic molecule,S1PR
S1PR2,#6,,Small organic molecule,S1PR
S1PR3,#6,,Small organic molecule,S1PR
S1PR4,#6,,Small organic molecule,S1PR
S1PR5,#6,,Small organic molecule,S1PR
SUCNR1,#2,,#2,Succinate
TACR1,#2,,#2,Tachykinin R (Subst P Neurokinin)
TACR2,#2,,#2,Tachykinin R (Subst P Neurokinin)
TACR3,#2,,#2,Tachykinin R (Subst P Neurokinin)
TAS1R1,#5 taste,Exclude due to N term >160AA,#5 taste,Taste
TAS1R2,#5 taste,Exclude due to N term >160AA,#5 taste,Taste
TAS1R3,#5 taste,Exclude due to N term >160AA,#5 taste,Taste
TAS2R1,#5 taste,,#5 taste,Taste
TAS2R10,#5 taste,,#5 taste,Taste
TAS2R13,#5 taste,,#5 taste,Taste
TAS2R14,#5 taste,,#5 taste,Taste
TAS2R16,#5 taste,,#5 taste,Taste
TAS2R19,#5 taste,,#5 taste,Taste
TAS2R20,#5 taste,,#5 taste,Taste
TAS2R3,#5 taste,,#5 taste,Taste
TAS2R30,#5 taste,,#5 taste,Taste
TAS2R31,#5 taste,,#5 taste,Taste
TAS2R33,#5 taste,,#5 taste,Taste
TAS2R36,#5 taste,,#5 taste,Taste
TAS2R38,#5 taste,,#5 taste,Taste
TAS2R39,#5 taste,,#5 taste,Taste
TAS2R4,#5 taste,,#5 taste,Taste
TAS2R40,#5 taste,,#5 taste,Taste
TAS2R41,#5 taste,,#5 taste,Taste
TAS2R42,#5 taste,,#5 taste,Taste
TAS2R43,#5 taste,,#5 taste,Taste
TAS2R45,#5 taste,,#5 taste,Taste
TAS2R46,#5 taste,,#5 taste,Taste
TAS2R5,#5 taste,,#5 taste,Taste
TAS2R50,#5 taste,,#5 taste,Taste
TAS2R60,#5 taste,,#5 taste,Taste
TAS2R7,#5 taste,,#5 taste,Taste
TAS2R8,#5 taste,,#5 taste,Taste
TAS2R9,#5 taste,,#5 taste,Taste
TAAR1,#6,,Small organic molecule,TAAR
TAAR2,#6,,Small organic molecule,TAAR
TAAR3P,#6,,Small organic molecule,TAAR
TAAR5,#6,,Small organic molecule,TAAR
TAAR6,#6,,Small organic molecule,TAAR
TAAR8,#6,,Small organic molecule,TAAR
TAAR9,#6,,Small organic molecule,TAAR
ADCYAP1R1,#2,,#2,Class B pituitary activ peptide R
VIPR1,#2,,#2,VIP R
VIPR2,#2,,#2,VIP R
VN1R1,#6,,Small organic molecule,Vomeronasal
VN1R17P,#6,,Small organic molecule,Vomeronasal
VN1R2,#6,,Small organic molecule,Vomeronasal
VN1R3,#6,,Small organic molecule,Vomeronasal
VN1R4,#6,,Small organic molecule,Vomeronasal
VN1R5,#6,,Small organic molecule,Vomeronasal
XCR1,#2,,#2,Chemokine
APLNR,#2,,#2,Apln
