rec,lig,act_type,lig_nt,lig_ct,potency_ranks,citation,pAct
hPACR,hPACAx132x158,Agonist,,NH2,"PACAP-27, PACAP-38 >> VIP",,7.6|7.4|9.1|6.9|10.6|9|8.5|8.7
hMC3R,hCOLIx217x234,,,,"&gamma;-MSH, &beta;-MSH > ACTH, &alpha;-MSH",,
hCCR5,hCCL3x24x92,Full agonist,,,,,
hMC4R,hCOLIx77x87,,,NH2,"&beta;-MSH > &alpha;-MSH, ACTH > &gamma;-MSH",,
hACKR1,hCCL11x24x97,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hCXCR3,hCXL11x22x94,Full agonist,,,,,
hNPBW1,hNPBx25x47,Full agonist,,,neuropeptide B-29 > neuropeptide B-23 > neuropeptide W-23 > neuropeptide W-30,,8.8
hCCR8,hCCL1x24x96,Full agonist,,,,,
hOPRK,hCOLIx237x267,Partial agonist,,,"big dynorphin, dynorphin A",,
hGASR,hCCKNx71x103,Full agonist,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,8.8
hACKR3,hCXL11x22x94,Full agonist,,,,,
hSSR5,hSMSx89x116,Full agonist,,,,,
hGALR2,hSPXNx36x49,Agonist,,NH2,galanin-like peptide &ge; galanin,,6.79
hCALCR,hADM2x101x147,Full agonist,,NH2,"calcitonin &ge; amylin, &alpha;-CGRP, &beta;-CGRP > adrenomedullin, adrenomedullin 2/intermedin",,6.5|6|7|8
hNPFF1,hNPVFx81x92,,,NH2,"RFRP-1 > RFRP-3 > FMRFneuropeptide FF > neuropeptide AF > neuropeptide SF, QRFP43 (43RFa), PrRP-31",,
hCCKAR,hCCKNx46x103,Agonist,,NH2,"CCK-8, CCK-58, CCK-39, CCK-33 >> gastrin-17, desulfated cholecystokinin-8 > CCK-4",,
hACKR4,hCCL25x24x150,Agonist,,,,,7.6
hGALR2,hGALPx25x84,Agonist,,,galanin-like peptide &ge; galanin,,
hCCKAR,hCCKNx96x103,Agonist,,NH2,"CCK-8, CCK-58, CCK-39, CCK-33 >> gastrin-17, desulfated cholecystokinin-8 > CCK-4",,
hACKR1,hCXL11x22x94,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hLGR5,hRSPO1x21x263,Full agonist,,,,,11.1
hNMUR1,hNMUx142x166,Full agonist|Agonist,,NH2,,,9.5
hCXCR6,hCXL16x30x254,Full agonist,,,,,9
hOPRK,hPDYNx207x214,Full agonist,,,"big dynorphin, dynorphin A",,
hGLP1R,hGLUCx98x128,Full agonist,,,,,
hNPBW1,hNPWx33x55,Full agonist,,,neuropeptide B-29 > neuropeptide B-23 > neuropeptide W-23 > neuropeptide W-30,,10
hOPRD,hCOLIx237x267,Full agonist,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,8.3
hACKR2,hCCL22x25x93,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hCXCR4,hSDF1x22x89,Full agonist|Agonist,,,,,9.3
hCML2,hRARR2x21x154,Full agonist,,,,,8.28
hCCR7,hCCL19x22x98,Agonist,,,,,10
hXCR1,hXCL2x1x114,Agonist,,,,,7.3
hXCR1,hXCL1x22x114,Agonist,,,,,7.3
hCCR1,hCCL23x22x120,Full agonist,,,,,8.9
hOPRM,hPDYNx175x179,,,,,,
hMRGX2,hADMLx22x41,Full agonist,,NH2,,,
hTRFR,hTRHx84x86,,,NH2,,,
hAPJ,hAPELx65x77,Full agonist,,,[Pyr<sup>1</sup>]apelin-13 &ge; apelin-13 > apelin-36,,
hV2R,hNEU2x20x28,Full agonist,,NH2,vasopressin > oxytocin,,
hMC5R,hAGRPx21x132,Inverse agonist,,,&alpha;-MSH > &beta;-MSH > ACTH > &gamma;-MSH,,6.5
hEDNRA,hEDN3x97x117,,,,endothelin-1 = endothelin-2 > endothelin-3,,
hGIPR,hGIPx52x93,Full agonist|Agonist,,,,,8.7|9.12
hCCR2,hCCL13x17x98,Full agonist,,,,,
hCCKAR,hCCKNx71x103,Agonist,,NH2,"CCK-8, CCK-58, CCK-39, CCK-33 >> gastrin-17, desulfated cholecystokinin-8 > CCK-4",,
hOPRD,hPDYNx207x214,Partial agonist,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,8.4
hCXCR3,hCCL20x27x96,Full agonist,,,,,6.8
hSSR5,hSMSx103x116,Full agonist,,,,,
hFZD1,hWNT5Ax62x380,,,,,,
hPTH2R,hTIP39x62x100,Full agonist,,,"TIP39, PTH >> PTHrP",,
hNPFF2,hNPFFx66x76,,,NH2,"neuropeptide AF, neuropeptide FF > PrRP-31 > FMRF, QRFP43 (43RFa) > neuropeptide SF",,
hFPR3,hHEBP1x1x21,Full agonist,,NH2,,,
hOX2R,hOREXx70x97,Full agonist,,NH2,orexin-A = orexin-B,,
hACKR1,hCCL14x20x93,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hCXCR3,hCCL19x22x98,Full agonist,,,,,5.9
hNK3R,hTKN1x58x68,Full agonist,,NH2,neurokinin B > neurokinin A > substance P,,
hEDNRA,hEDN1x53x73,Full agonist,,,endothelin-1 = endothelin-2 > endothelin-3,,
hMRGX1,hPENKx217x231,Full agonist,,,,,7.68|7.99
hACKR1,hCXCL6x38x114,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hAPJ,hELAx34x54,Agonist,,,[Pyr<sup>1</sup>]apelin-13 &ge; apelin-13 > apelin-36,,8.7
hSSR4,hCORTx89x105,Full agonist,,,,,
hCXCR2,hIL8x23x99,Full agonist,,,,,
hACKR1,hIL8x23x99,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hOPRK,hPDYNx226x238,Partial agonist,,,"big dynorphin, dynorphin A",,
hCXCR3,hCXCL9x23x125,Full agonist,,,,,
hPRLHR,hNPYx29x64,Antagonist,,NH2,PrRP-20 = PrRP-31,,5.4
hPTH1R,hPTHRx37x177,,,,PTH = PTHrP,,
hGASR,hGASTx59x92,Agonist,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,
hV1BR,hNEU2x20x28,Full agonist,,NH2,vasopressin > oxytocin,,
hV2R,hNEU1x20x28,Full agonist,,NH2,vasopressin > oxytocin,,
hPKR1,hPROK2x28x129,Full agonist,,,prokineticin-2 > prokineticin-1 > prokineticin-2&beta;,,
hPKR1,hPROK1x20x105,Full agonist,,,prokineticin-2 > prokineticin-1 > prokineticin-2&beta;,,
hACKR2,hCCL17x24x94,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hSSR1,hSMSx89x116,Full agonist,,,,,
hMC5R,hCOLIx77x87,,,NH2,&alpha;-MSH > &beta;-MSH > ACTH > &gamma;-MSH,,
hCXCR2,hGROAx35x107,Full agonist,,,,,
hNPBW2,hNPWx33x62,Full agonist,,,neuropeptide W-23 > neuropeptide W-30 > neuropeptide B-29 > neuropeptide B-23,,9.4
hCCR3,hCCL7x24x99,Full agonist,,,,,
hMC4R,hCOLIx138x176,Agonist,acet,,"&beta;-MSH > &alpha;-MSH, ACTH > &gamma;-MSH",,6.16
hNPFF2,hNPFFx93x110,,,NH2,"neuropeptide AF, neuropeptide FF > PrRP-31 > FMRF, QRFP43 (43RFa) > neuropeptide SF",,
hCXCR1,hSYYCx360x528,Agonist,,,,,
hLGR5,hRSPO2x22x243,Full agonist,,,,,12
hCCR3,hCXL11x22x94,Antagonist,,,,,
hEDNRB,hEDN2x49x69,,,,"endothelin-1 = endothelin-2, endothelin-3",,
hNPBW1,hNPBx25x53,Full agonist,,,neuropeptide B-29 > neuropeptide B-23 > neuropeptide W-23 > neuropeptide W-30,,9.5
hOPRD,hPDYNx226x238,Full agonist,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,7.8
hNPFF2,hNPFFx69x76,Full agonist,,NH2,"neuropeptide AF, neuropeptide FF > PrRP-31 > FMRF, QRFP43 (43RFa) > neuropeptide SF",,9.7
hCRFR1,hCRFx154x194,Full agonist,,NH2,,,
hCCR3,hCCL2x24x99,Full agonist,,,,,
hOPRM,hPDYNx207x219,Full agonist,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,8.3
hNTR2,hNEUTx151x163,Full agonist,,,neurotensin = neuromedin N,,8.8
hPTH2R,hPTHYx32x115,,,,"TIP39, PTH >> PTHrP",,
hVIPR2,hSLIBx32x75,,,NH2,"VIP, PACAP-38, PACAP-27 > PHI (pig) >> GHRH, secretin",,
hGASR,hGASTx76x92,Agonist,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,
hMC5R,hCOLIx217x234,,,,&alpha;-MSH > &beta;-MSH > ACTH > &gamma;-MSH,,
hBKRB1,hKNG1x380x389,Full agonist,,,[des-Arg<sup>10</sup>]kallidin > [des-Arg<sup>9</sup>]bradykinin = kallidin > bradykinin,,
hOX2R,hOREXx34x66,Full agonist,,NH2,orexin-A = orexin-B,,
hNMUR1,hNMSx109x141,Full agonist|Agonist,,NH2,,,10|10.2
hGASR,hCCKNx100x103,Full agonist,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,7.5
hCCR10,hCCL27x25x112,Full agonist,,,,,
hOPRM,hPDYNx207x223,Full agonist,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,8.1
hLGR4,hRSPO4x20x234,Full agonist,,,,,10.05
hLGR6,hRSPO4x20x234,Full agonist,,,,,
hLGR4,hRSPO3x22x272,Full agonist,,,,,10.7|8.66
hACKR2,hCCL7x24x99,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hCCR1,hCCL8x24x99,Agonist,,,,,
hGRPR,hGRPx41x50,Full agonist,,NH2,,,9.85
hMCHR1,hMCHx147x165,Full agonist,,,,,
hSCTR,hVIPx125x152,Partial agonist,,NH2,,,5.4
hOPRK,hPDYNx175x183,Full agonist,,,"big dynorphin, dynorphin A",,7.9
hCXCR3,hSDF1x22x89,Full agonist,,,,,6.4
hSSR1,hSMSx103x116,Full agonist,,,,,
hAGTR1,hANGTx27x32,Partial agonist,,,,,5.9
hEDNRB,hEDN1x53x73,,,,"endothelin-1 = endothelin-2, endothelin-3",,
hGPR75,hCCL5x24x91,Full agonist,,,,,9.59
hLGR6,hRSPO3x22x272,Agonist,,,,,
hFPR2,hHUNINx1x24,Full agonist,,,LXA<sub>4</sub> = aspirin triggered lipoxin A4 = ATLa2 = resolvin D1 > LTC<sub>4</sub> = LTD<sub>4</sub> >> 15-deoxy-LXA4 >> fMet-Leu-Phe,,8.46
hCRFR1,hUCN1x83x122,Full agonist,,NH2,,,
hAGTR2,hANGTx25x31,Agonist,,,,,6.61
hC5AR2,hCO5x678x750,Full agonist|Agonist,,,,,8.64
hCCR2,hCCL24x27x119,Antagonist,,,,,6.2
hCALRL,hADMLx95x146,Full agonist,,NH2,,,8.1
hCALRL,hADM2x101x147,Full agonist,,NH2,,,
hCALRL,hCALCAx83x119,Full agonist,,NH2,,,6
hCALRL,hCALCBx82x118,Full agonist,,NH2,,,
hAPJ,hAPELx42x77,Full agonist,,,[Pyr<sup>1</sup>]apelin-13 &ge; apelin-13 > apelin-36,,
hCCR1,hCCL15x22x113,Full agonist,,,,,7.9
hCCR1,hCCL18x21x89,Antagonist,,,,,
hCCR3,hCCL15x22x113,Full agonist,,,,,8.6
hCCR3,hCCL18x21x89,Antagonist,,,,,
hCML2,hRARR2x149x157,Agonist,,,,,9
hOPRD,hPENKx230x234,Full agonist,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,8.7
hFPR1,hANXA1x2x26,Full agonist,,,,,
hFPR2,hA4x672x713,Full agonist,,,,PMID35365641,7
hFPR2,hANXA1x2x26,Full agonist,,,,,
hFPR2,hSAA1x18x122,Full agonist,,,LXA<sub>4</sub> = aspirin triggered lipoxin A4 = ATLa2 = resolvin D1 > LTC<sub>4</sub> = LTD<sub>4</sub> >> 15-deoxy-LXA4 >> fMet-Leu-Phe,,6.6
hGHSR,hLEAP2x1x77,Antagonist,,,,,8.22
hGPR15,hGP15Lx71x81,Agonist,,,,,6.84
hGPR19,hENHOx34x76,Agonist,,,,,8.11
hGPR35,hCXL17x22x119,Agonist,,,,,
hGPR55,hCLUL1x52x77,Agonist,,,,,6.74
hGPR55,hMANS1x415x431,Agonist,,,,,5.51
hGPR55,hMSMBx91x114,Agonist,,,,,6.65
hGPR55,hSG11Bx61x103,Agonist,,,,,5.69
hGPR68,hCARTx76x96,Agonist,,NH2,,,5.98
hGPR68,hOSTNx115x133,Agonist,,,,,6.42
hMRGX1,hGP15Lx1x81,Agonist,,,,,4.74
hMRGX2,hGP15Lx1x81,Agonist,,,,,5.72
hMRGX2,hSMSx89x116,Agonist,,,,,5.38
hMRGX2,hTKN1x58x68,Agonist,,NH2,,,5.97
hACTHR,hCRFx154x194,Agonist,,NH2,,,
hOPRM,hPENKx230x234,Partial agonist,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,8.1
hSCTR,hSECRx28x54,Full agonist,,,,,9.7
hNPY1R,hPYYx29x64,Agonist,,NH2,neuropeptide Y = peptide YY >> pancreatic polypeptide,,
hNPY2R,hPYYx29x64,Full agonist|Agonist,,NH2,peptide YY = peptide YY(3-36) = neuropeptide Y = neuropeptide Y(3-36) >> pancreatic polypeptide,,
hNPY2R,hPYYx31x64,Full agonist,,NH2,peptide YY = peptide YY(3-36) = neuropeptide Y = neuropeptide Y(3-36) >> pancreatic polypeptide,,
hNPY4R,hPYYx29x64,Full agonist,,NH2,pancreatic polypeptide >> neuropeptide Y = peptide YY,,8.8
hGNRR2,hGON1x24x33,,,NH2,GnRH II > GnRH I,,
hGNRR2,hGON2x24x33,,,NH2,GnRH II > GnRH I,,
hNPY5R,hPYYx29x64,,,NH2,neuropeptide Y > peptide YY > pancreatic polypeptide,,
hOPRD,hPENKx107x111,,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,
hOPRD,hPENKx186x190,,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,
hOPRD,hPENKx210x214,,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,
hOPRD,hPENKx136x140,,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,
hOPRD,hPENKx261x265,,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,
hOPRK,hPENKx230x234,,,,"big dynorphin, dynorphin A",,
hOPRK,hPENKx107x111,,,,"big dynorphin, dynorphin A",,
hOPRK,hPENKx186x190,,,,"big dynorphin, dynorphin A",,
hOPRK,hPENKx210x214,,,,"big dynorphin, dynorphin A",,
hOPRK,hPENKx136x140,,,,"big dynorphin, dynorphin A",,
hOPRK,hPENKx261x265,,,,"big dynorphin, dynorphin A",,
hOPRM,hPENKx107x111,,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,
hOPRM,hPENKx186x190,,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,
hOPRM,hPENKx210x214,,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,
hOPRM,hPENKx136x140,,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,
hOPRM,hPENKx261x265,,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,
hTRFR,hTRHx114x116,,,NH2,,,
hTRFR,hTRHx227x229,,,NH2,,,
hTRFR,hTRHx186x188,,,NH2,,,
hTRFR,hTRHx152x154,,,NH2,,,
hTRFR,hTRHx135x137,,,NH2,,,
hVIPR1,hSECRx28x54,,,,"VIP, PACAP-27, PACAP-38 >> GHRH, PHI (pig), secretin",,
hVIPR2,hSECRx28x54,,,,"VIP, PACAP-38, PACAP-27 > PHI (pig) >> GHRH, secretin",,
hGP107,hSMSx31x43,,,,,,
hGPR25,hCXL17x22x119,,,,,PMID39293486,
hGPR25,hCXL17x64x119,,,,,PMID39293486,
hGPR15,hGP15Lx25x81,,,,,PMID36930875,
hCCR3,hCCL28x23x103,,,,,PMID40502012,
hCCR3,hCCL28x23x127,,,,,PMID40502012,
hCCR10,hCCL28x23x103,,,,,PMID40502012,
hCCR10,hCCL28x23x127,,,,,PMID40502012,
hCX3C1,hX3CL1x25x100,,,,,,
hCCR9,hCCL25x24x98,,,,,,
hACKR4,hCCL25x24x98,,,,,,
hCCR1,hCL3L1x26x93,,,,,PMID10961862,
hCCR3,hCL3L1x26x93,,,,,PMID10961862,
hCCR5,hCL3L1x26x93,,,,,PMID10961862,
hCX3C1,hCCL26x24x94,,,,,PMID20974991,
hCCR1,hCCL14x28x93,,,,,PMID11085751,
hCCR3,hCCL14x28x93,,,,,PMID11085751,
hCCR5,hCCL14x28x93,,,,,PMID11085751,
hCXCR6,hCXL16x30x107,,,,,PMID11017100,
hCCR7,hCCL21x24x102,,,,,PMID40502012,
hACKR4,hCCL21x24x102,,,,,,
hXCR1,hXCL2x22x114,,,,,SP-less active form,
hCCR1,hCCL15x43x113,,,,,PMID15905581,
hCCR1,hCCL15x50x113,,,,,PMID15905581,
hCCR1,hCCL15x46x113,,,,,PMID15905581,
hCCR3,hCCL15x43x113,,,,,PMID15905581,
hCCR3,hCCL15x50x113,,,,,PMID15905581,
hCCR3,hCCL15x46x113,,,,,PMID15905581,
hPAR1,hPAR1x42x47,,,,,tethered ago,
hPAR1,hPAR1x42x48,,,,,tethered ago,
hPAR1,hPAR1x42x49,,,,,tethered ago,
hPAR1,hPAR1x42x50,,,,,tethered ago,
hCML1,hRARR2x21x157,,,,,PMID39616240,
hCML2,hRARR2x21x157,,,,,PMID18165312,
hBKRB2,hKNG1x376x389dLMK,,,,,T-kinin (correct dLMK sequence) pairing ,
hBKRB1,hKNG1x376x388dLMK,,,,,T-kinin-desR (correct dLMK sequence) pairing,
hBKRB2,hKNG1x376x388dLMK,,,,,T-kinin-desR (correct dLMK sequence) pairing,
