rec,lig,act_type,lig_nt,lig_ct,potency_ranks,citation,pAct
hPACR,hVIPx81x107,,,NH2,"PACAP-27, PACAP-38 >> VIP",,
hACKR4,hCCL21x24x134,Agonist,,,,,6.9
hAGTR2,hANGTx26x32,Full agonist,,,,,10.4
hVIPR1,hVIPx125x152,Agonist,,NH2,"VIP, PACAP-27, PACAP-38 >> GHRH, PHI (pig), secretin",,9.1|8.9|9.7|9.4|9.3|9|8|9.8|7.9|8.5|10|8.7
hNPFF1,hNPFFx100x110,,,,,,
hOPRD,hPDYNx207x219,Full agonist,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,7.8
hNPBW1,hNPWx33x62,Full agonist,,,neuropeptide B-29 > neuropeptide B-23 > neuropeptide W-23 > neuropeptide W-30,,10.6
hCXCR2,hCXCL3x35x107,Full agonist,,,,,
hNMUR2,hNMUx142x166,Full agonist|Agonist,,NH2,,,9.6
hAGTR1,hANGTx25x32,Full agonist,,,,,
hV1AR,hNEU2x20x28,Full agonist,,NH2,vasopressin > oxytocin,,
hFZD6,hWNT5Ax62x380,Agonist,,,,,
hFPR2,hCAMPx134x170,Full agonist,,,LXA<sub>4</sub> = aspirin triggered lipoxin A4 = ATLa2 = resolvin D1 > LTC<sub>4</sub> = LTD<sub>4</sub> >> 15-deoxy-LXA4 >> fMet-Leu-Phe,,6
hVIPR2,hPACAx132x169,Agonist,,NH2,"VIP, PACAP-38, PACAP-27 > PHI (pig) >> GHRH, secretin",,9.3|7.7
hNTR2,hNEUTx144x148,,,,neurotensin = neuromedin N,,
hFZD1,hWNT2x26x360,,,,,,
hV1AR,hNEU1x20x28,Full agonist,,NH2,vasopressin > oxytocin,,
hAPJ,hAPELx61x77,Agonist,,,[Pyr<sup>1</sup>]apelin-13 &ge; apelin-13 > apelin-36,,
hSSR5,hCORTx89x105,Full agonist,,,,,
hCCR2,hCCL11x24x97,Partial agonist,,,,,
hEDNRB,hEDN3x97x117,Full agonist,,,"endothelin-1 = endothelin-2, endothelin-3",,
hGLP2R,hGLUCx148x178,Partial agonist,,,,,7.4
hBKRB2,hKNG1x380x389,Full agonist,,,"kallidin > bradykinin >> [des-Arg<sup>9</sup>]bradykinin, [des-Arg<sup>10</sup>]kallidin",,9.3
hCCR1,hCCL5x24x91,Full agonist,,,,,
hOPRM,hPDYNx226x238,Full agonist,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,8.5
hCCR6,hCCL20x27x96,Full agonist,,,,,
hCCR2,hCCL7x24x99,Full agonist,,,,,
hOPRK,hPDYNx207x238,,,,"big dynorphin, dynorphin A",,
hCXCR3,hCCL13x17x98,Full agonist,,,,,7.2
hCML1,hRARR2x21x154,Full agonist,,,resolvin E1 > chemerin C-terminal peptide > 18R-HEPE > EPA,GtoP,8.31|8.01
hMSHR,hCOLIx77x87,,,NH2,"&alpha;-MSH > &beta;-MSH > ACTH, &gamma;-MSH",,
hNPFF1,hNPFFx93x110,,,NH2,"RFRP-1 > RFRP-3 > FMRFneuropeptide FF > neuropeptide AF > neuropeptide SF, QRFP43 (43RFa), PrRP-31",,
hKISSR,hKISS1x112x121,Full agonist,,NH2,,,
hPACR,hPACAx132x169,Agonist,,NH2,"PACAP-27, PACAP-38 >> VIP",,8.3|9.2|6.9|8.8|9|10.3|7.5
hNPFF1,hNPFFx69x76,Full agonist,,NH2,"RFRP-1 > RFRP-3 > FMRFneuropeptide FF > neuropeptide AF > neuropeptide SF, QRFP43 (43RFa), PrRP-31",,
hGRPR,hGRPx37x50,Full agonist,,,,,
hCXCR1,hCXCL6x38x114,Full agonist,,,,,7
hNPY2R,hNPYx31x64,Full agonist,,NH2,peptide YY = peptide YY(3-36) = neuropeptide Y = neuropeptide Y(3-36) >> pancreatic polypeptide,,
hCCR2,hCCL2x24x99,Full agonist,,,,,
hFPR1,hHBBx33x39,Antagonist,,,fMet-Leu-Phe > cathepsin G > annexin I,,4.3
hCCR5,hCCL5x24x91,Full agonist,,,,,
hACKR2,hCCL2x24x99,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hCXCR1,hIL8x23x99,Full agonist|Agonist,,,,,8.1
hPTH2R,hPTHRx37x177,,,,"TIP39, PTH >> PTHrP",,
hGASR,hCCKNx46x103,,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,
hC5AR1,hCO3x672x748,,,,"C5a, C5a des-Arg > C3a",,
hGRPR,hNMBx47x56,Full agonist,,NH2,,,
hNTR1,hNEUTx25x165,Full agonist,,,neurotensin > neuromedin N,,8.7
hVIPR1,hVIPx81x107,Agonist,,NH2,"VIP, PACAP-27, PACAP-38 >> GHRH, PHI (pig), secretin",,5.7
hGPR39,hGHRLx76x98,,,NH2,,,
hNTR1,hNEUTx151x163,Full agonist,,,neurotensin > neuromedin N,,
hCALCR,hCALCBx82x118,Full agonist,,NH2,"calcitonin &ge; amylin, &alpha;-CGRP, &beta;-CGRP > adrenomedullin, adrenomedullin 2/intermedin",,9.2|7.2|7.7
hCCKAR,hCCKNx100x103,,,NH2,"CCK-8, CCK-58, CCK-39, CCK-33 >> gastrin-17, desulfated cholecystokinin-8 > CCK-4",,
hNTR2,hCOPAx1x25,,,,neurotensin = neuromedin N,,
hMC4R,hAGRPx21x132,Inverse agonist,,,"&beta;-MSH > &alpha;-MSH, ACTH > &gamma;-MSH",,9.3
hBKRB1,hKNG1x380x388,Full agonist,,,[des-Arg<sup>10</sup>]kallidin > [des-Arg<sup>9</sup>]bradykinin = kallidin > bradykinin,,
hGRPR,hGRPx24x50,Full agonist,,NH2,,,
hNPY4R,hNPYx29x64,Full agonist,,NH2,pancreatic polypeptide >> neuropeptide Y = peptide YY,,8
hCRFR2,hUCN2x72x109,Full agonist,,NH2,,,
hGPR37,hSAPx318x339,Agonist,,,,,8.15
hNPFF2,hPRRPx23x53,,,NH2,"neuropeptide AF, neuropeptide FF > PrRP-31 > FMRF, QRFP43 (43RFa) > neuropeptide SF",,
hCCR7,hCCL21x24x134,Agonist,,,,,9.3
hCXCR2,hCXCL5x37x114,Full agonist,,,,,
hACKR2,hCCL4x24x92,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hACKR1,hCXCL5x37x114,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hNMUR2,hNMSx109x141,Full agonist|Agonist,,NH2,,,10|9.2
hSSR4,hSMSx89x116,Full agonist,,,,,
hGLP1R,hGLUCx98x127,Full agonist,,NH2,,,9.2
hNPY1R,hNPYx29x64,Agonist,,NH2,neuropeptide Y = peptide YY >> pancreatic polypeptide,,
hCALCR,hCALCAx83x119,Full agonist,,NH2,"calcitonin &ge; amylin, &alpha;-CGRP, &beta;-CGRP > adrenomedullin, adrenomedullin 2/intermedin",,
hMC5R,hCOLIx138x176,Agonist,acet,,&alpha;-MSH > &beta;-MSH > ACTH > &gamma;-MSH,,5
hGALR3,hGALAx33x62,Full agonist,,,galanin-like peptide > galanin,,7.12|7.16
hBKRB1,hKNG1x381x388,Full agonist,,,[des-Arg<sup>10</sup>]kallidin > [des-Arg<sup>9</sup>]bradykinin = kallidin > bradykinin,,
hNPY1R,hPAHOx30x65,,,NH2,neuropeptide Y = peptide YY >> pancreatic polypeptide,,
hNPSR1,hNPSx70x89,Full agonist,,,,,7.34|8
hOPRM,hPENKx100x104,,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,
hNPY5R,hPAHOx30x65,Full agonist,,NH2,neuropeptide Y > peptide YY > pancreatic polypeptide,,8
hGASR,hCCKNx96x103,Full agonist,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,
hCCR3,hCCL8x24x99,Full agonist,,,,,
hNPFF2,hNPVFx81x92,,,NH2,"neuropeptide AF, neuropeptide FF > PrRP-31 > FMRF, QRFP43 (43RFa) > neuropeptide SF",,
hKISSR,hKISS1x68x121,Full agonist,,NH2,,,
hCCR5,hCCL14x20x93,Full agonist,,,,,7.2
hC3AR,hCO3x672x748,Full agonist|Agonist,,,C3a > C5a,,7.3|9.62
hPTH1R,hTIP39x62x100,Antagonist,,,PTH = PTHrP,,
hPKR2,hPROK2x28x129,Full agonist,,,prokineticin-2 > prokineticin-1 > prokineticin-2&beta;,,
hNPY4R,hPAHOx30x65,Full agonist,,NH2,pancreatic polypeptide >> neuropeptide Y = peptide YY,,
hLGR5,hRSPO4x20x234,Full agonist,,,,,9.4
hCCR9,hCCL25x24x150,Full agonist,,,,,
hVIPR2,hPACAx132x158,Agonist,,NH2,"VIP, PACAP-38, PACAP-27 > PHI (pig) >> GHRH, secretin",,7.6|8.4|9.4|8|7.7
hOPRK,hPDYNx175x179,,,,,,
hNPFF1,hOX26x91x133,,,NH2,"RFRP-1 > RFRP-3 > FMRFneuropeptide FF > neuropeptide AF > neuropeptide SF, QRFP43 (43RFa), PrRP-31",,
hCCKAR,hCCKNx65x103,Agonist,,NH2,"CCK-8, CCK-58, CCK-39, CCK-33 >> gastrin-17, desulfated cholecystokinin-8 > CCK-4",,
hNMBR,hNMBx47x56,Full agonist,,NH2,,,
hVIPR1,hPACAx132x169,Agonist,,NH2,"VIP, PACAP-27, PACAP-38 >> GHRH, PHI (pig), secretin",,7.4|9.7|8.2
hFPR2,hANXA1x1x346,Full agonist,,,LXA<sub>4</sub> = aspirin triggered lipoxin A4 = ATLa2 = resolvin D1 > LTC<sub>4</sub> = LTD<sub>4</sub> >> 15-deoxy-LXA4 >> fMet-Leu-Phe,,6.5
hACKR2,hCCL3x24x92,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hMC3R,hCOLIx138x150,Full agonist,acet,NH2,"&gamma;-MSH, &beta;-MSH > ACTH, &alpha;-MSH",,
hCCR1,hCCL16x24x120,,,,,,
hMCHR2,hMCHx147x165,Full agonist,,,,,
hNK2R,hQ9Y494x37x57,,,,,,
hNMBR,hGRPx24x50,,,NH2,,,
hCX3C1,hX3CL1x25x397,Full agonist,,,,,8.9
hGALR1,hGALAx33x62,Full agonist,,,galanin > galanin-like peptide,,
hNK2R,hTKNKx81x90,Full agonist,,NH2,neurokinin A > neurokinin B >> substance P,,
hNPBW2,hNPBx25x47,Full agonist,,,neuropeptide W-23 > neuropeptide W-30 > neuropeptide B-29 > neuropeptide B-23,,8.4
hMSHR,hCOLIx138x176,Agonist,acet,,"&alpha;-MSH > &beta;-MSH > ACTH, &gamma;-MSH",,8.6
hGALR2,hGALAx33x62,Full agonist,,,galanin-like peptide &ge; galanin,,9.29
hSSR1,hCORTx89x105,Full agonist,,,,,
hCCR3,hCCL13x17x98,Full agonist,,,,,
hNK1R,hQ9Y494x37x57,Full agonist,,,substance P > neurokinin A > neurokinin B,,
hCCR3,hA0A8I5JUL6x22x113,,,,,,
hACKR2,hCCL8x24x99,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hNMBR,hGRPx37x50,Full agonist,,,,,
hNPY5R,hNPYx29x64,Full agonist,,NH2,neuropeptide Y > peptide YY > pancreatic polypeptide,,9.1
hNK1R,hTKNKx81x90,Full agonist,,NH2,substance P > neurokinin A > neurokinin B,,
